id	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	ARO Category	ARO Accession	ARO Name
GQ140348|ARO:3002320	ACS35345.1	GQ140348	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002320	NA
JN861780|ARO:3001711	AEV91551.1	JN861780	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001711	NA
AJ243491|ARO:3002193	CAB94707.1	AJ243491	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002193	NA
X92508|ARO:3002012	CAA63264.1	X92508	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002012	NA
KF203103|ARO:3001517	AGW16411.1	KF203103	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001517	NA
JN848330|ARO:3001832	AEV91214.1	JN848330	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001832	NA
AB871653|ARO:3001557	BAO09635.1	AB871653	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001557	NA
AY047358|ARO:3003552	AAL12234.1	AY047358	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation	NA	ARO:3003552	NA
JN790862|ARO:3001980	AFA51699.1	JN790862	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001980	NA
AY536519|ARO:3002372	AAS48620.1	AY536519	VEB beta-lactamase	monobactam;cephalosporin	antibiotic inactivation	NA	ARO:3002372	NA
AM399080|ARO:3002835	CAL44992.1	AM399080	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	NA	ARO:3002835	NA
AJ519683|ARO:3001794	CAD58780.1	AJ519683	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001794	NA
FJ617207|ARO:3001800	ACM67635.1	FJ617207	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001800	NA
KM211508|ARO:3003163	AIS67611.1	KM211508	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3003163	NA
KM087853|ARO:3002146	AIT76106.1	KM087853	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002146	NA
NC_007682|ARO:3003109	YP_724476.1	NC_007682	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;streptogramin antibiotic	antibiotic efflux	NA	ARO:3003109	NA
AJ871876|ARO:3002415	CAI43424.1	AJ871876	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002415	NA
EU487198|ARO:3002804	ACC85616.1	EU487198	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	NA	ARO:3002804	NA
K00432|ARO:3002649	AAA26699.1	K00432	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002649	NA
U12338|ARO:3002528	AAG15269.1	U12338	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002528	NA
JX259319|ARO:3002771	AFR46589.1	JX259319	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002771	NA
KC544262|ARO:3003198	AGH19769.1	KC544262	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	NA	ARO:3003198	NA
AJ871874|ARO:3002413	CAI43422.1	AJ871874	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002413	NA
NC_003197|ARO:3000504	NP_460903.1	NC_003197	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux	NA	ARO:3000504	NA
AP009048|ARO:3003550	BAE78082.1	AP009048	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic;acridine dye	antibiotic efflux	NA	ARO:3003550	NA
KM087846|ARO:3002125	AIT76099.1	KM087846	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002125	NA
AF525303|ARO:3001808	AAQ08905.1	AF525303	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001808	NA
AM231719|ARO:3001650	CAJ77809.1	AM231719	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001650	NA
AF275256|ARO:3002380	AAG29813.1	AF275256	SME beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3002380	NA
L06161|ARO:3002538	AAA25683.1	L06161	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002538	NA
AF473577|ARO:3002397	AAL79541.1	AF473577	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002397	NA
GQ152600|ARO:3002188	ACS44783.1	GQ152600	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3002188	NA
KC292503|ARO:3000904	AGE11905.1	KC292503	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000904	NA
NC_010410|ARO:3001617	YP_001715362.1	NC_010410	VEB beta-lactamase	monobactam;cephalosporin	antibiotic inactivation	NA	ARO:3001617	NA
AF527798.1|ARO:3000879	AAO33760.1	AF527798.1	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000879	NA
AB023477|ARO:3001082	BAA84973.1	AB023477	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001082	NA
JX440358|ARO:3002762	AFU25658.1	JX440358	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002762	NA
HE616889|ARO:3001502	CCE94500.1	HE616889	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001502	NA
HQ631376|ARO:3002795	AEG74318.1	HQ631376	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002795	NA
KF203104|ARO:3001518	AGW16412.1	KF203104	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001518	NA
HM146927|ARO:3002053	ADM21467.1	HM146927	CMY beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002053	NA
JQ808129|ARO:3002546	AFJ11385.1	JQ808129	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	NA	ARO:3002546	NA
JX440350|ARO:3002083	AFU25635.1	JX440350	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002083	NA
JQ772478|ARO:3002350	AFK80745.1	JQ772478	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002350	NA
AF535129|ARO:3001099	AAN04883.1	AF535129	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001099	NA
KJ427797|ARO:3001577	AHN53381.1	KJ427797	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001577	NA
AY491682|ARO:3000996	AAR84298.1	AY491682	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000996	NA
AJ809407|ARO:3002620	CAH10847.1	AJ809407	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002620	NA
KF361506|ARO:3002360	AGT37351.1	KF361506	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3002360	NA
KC580655|ARO:3002778	AGL43627.1	KC580655	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002778	NA
AF535130|ARO:3001100	AAN04884.1	AF535130	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001100	NA
AF315786|ARO:3001429	AAK49460.1	AF315786	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001429	NA
AF132290|ARO:3001076	AAF64386.1	AF132290	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001076	NA
Z50108|ARO:3003026	CAA90432.1	Z50108	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation	NA	ARO:3003026	NA
AM176554|ARO:3001133	CAJ47134.2	AM176554	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001133	NA
Y10279|ARO:3000916	CAA71322.1	Y10279	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000916	NA
X65254|ARO:3000887	CAA46346.1	X65254	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000887	NA
JX982636|ARO:3002307	AGC50807.1	JX982636	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002307	NA
KM087832|ARO:3001849	AIT76085.1	KM087832	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001849	NA
Y11068|ARO:3002157	CAA71947.1	Y11068	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002157	NA
EU748544|ARO:3002366	ACE77058.1	EU748544	PER beta-lactamase	monobactam;carbapenem;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3002366	NA
AF322577|ARO:3002238	AAK13430.1	AF322577	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002238	NA
AJ620678|ARO:3000845	CAF05908.1	AJ620678	GIM beta-lactamase	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3000845	NA
AB753456|ARO:3002233	BAM62793.1	AB753456	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002233	NA
AY040093|ARO:3000965	AAK82652.1	AY040093	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000965	NA
NC_002156|ARO:3000979	NP_052129.1	NC_002156	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000979	NA
HM544040|ARO:3002066	ADK55605.1	HM544040	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002066	NA
M97297|ARO:3002955	AAA65959.1	M97297	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002955	NA
NC_007779|ARO:3000508	YP_489794.1	NC_007779	resistance-nodulation-cell division (RND) antibiotic efflux pump;General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan;penem	antibiotic efflux;reduced permeability to antibiotic	NA	ARO:3000508	NA
DQ061159|ARO:3001904	AAY84742.1	DQ061159	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001904	NA
FJ194944|ARO:3001154	ACI22621.1	FJ194944	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001154	NA
JQ733576|ARO:3002092	AFK73446.1	JQ733576	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002092	NA
HQ322613|ARO:3002067	ADT91162.1	HQ322613	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002067	NA
KM588354|ARO:3003149	AJA32744.1	KM588354	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3003149	NA
AF162694|ARO:3002966	AAF61331.1	AF162694	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002966	NA
HM569226|ARO:3002059	ADP02979.1	HM569226	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002059	NA
JN173060|ARO:3002753	AEL00461.1	JN173060	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002753	NA
AY628175|ARO:3000972	AAT46413.1	AY628175	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000972	NA
AJ698325|ARO:3003203	CAG27800.1	AJ698325	TLA beta-lactamase	fluoroquinolone antibiotic;monobactam;cephalosporin	antibiotic inactivation	NA	ARO:3003203	NA
AJ920369|ARO:3001071	CAI76927.1	AJ920369	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001071	NA
AY587956|ARO:3001773	AAT01092.1	AY587956	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001773	NA
U14749|ARO:3002243	AAC09012.1	U14749	CARB beta-lactamase	penam	antibiotic inactivation	NA	ARO:3002243	NA
AF462019|ARO:3002681	AAL68645.1	AF462019	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	NA	ARO:3002681	NA
U95363|ARO:3000912	AAC32889.2	U95363	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000912	NA
FJ666071|ARO:3002507	ACQ82813.1	FJ666071	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation	NA	ARO:3002507	NA
X51891|ARO:3000326	CAB60001.1	X51891	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration	NA	ARO:3000326	NA
AF031329|ARO:3002565	AAD03493.1	AF031329	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002565	NA
KP143090|ARO:3003209	AJE60855.1	KP143090	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	NA	ARO:3003209	NA
EF420108|ARO:3002375	ABN80430.1	EF420108	VEB beta-lactamase	monobactam;cephalosporin	antibiotic inactivation	NA	ARO:3002375	NA
Z50802|ARO:3003012	CAA90683.1	Z50802	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3003012	NA
AF250872|ARO:3000954	AAG44570.1	AF250872	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000954	NA
AM919399|ARO:3002733	CAP45903.1	AM919399	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002733	NA
EU408350|ARO:3002488	ACH58989.1	EU408350	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002488	NA
DQ143913|ARO:3002282	AAZ73123.1	DQ143913	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002282	NA
AY138986|ARO:3002604	AAN34365.1	AY138986	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002604	NA
U00096|ARO:3000796	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	NA	ARO:3000796	NA
JX013656|ARO:3002304	AFN88953.1	JX013656	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002304	NA
DQ174304|ARO:3001119	ABA06586.1	DQ174304	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001119	NA
AB529520|ARO:3002263	BAJ05825.1	AB529520	IND beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3002263	NA
KP050489|ARO:3001364	AJO16042.1	KP050489	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001364	NA
HQ529916|ARO:3001045	ADR71220.1	HQ529916	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001045	NA
NC_012491|ARO:3002815	YP_002773985.1	NC_012491	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration	NA	ARO:3002815	NA
X63451|ARO:3002828	CAA45050.1	X63451	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	NA	ARO:3002828	NA
FFFO01000009.1|ARO:3000198	CWV56762.1	FFFO01000009.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	NA	ARO:3000198	NA
JF274246|ARO:3001972	AEM44652.1	JF274246	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001972	NA
AY847146|ARO:3001912	AAV97955.1	AY847146	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001912	NA
AB700703|ARO:3001057	BAL68178.1	AB700703	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001057	NA
KC199968|ARO:3002853	AGC29882.1	KC199968	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	NA	ARO:3002853	NA
JX028276|ARO:3002883	AFO53532.1	JX028276	rifampin glycosyltransferase	rifamycin antibiotic	antibiotic inactivation	NA	ARO:3002883	NA
KJ188748|ARO:3002383	AHV85514.1	KJ188748	SME beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3002383	NA
AB061794|ARO:3002020	BAB72158.1	AB061794	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002020	NA
AY939911|ARO:3002634	AAX38178.1	AY939911	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002634	NA
X59968|ARO:3002690	CAA42594.1	X59968	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	NA	ARO:3002690	NA
DQ631414|ARO:3002724	ABG56269.1	DQ631414	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002724	NA
L06163|ARO:3002595	AAA25680.1	L06163	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002595	NA
U35369|ARO:3002921	AAB05624.1	U35369	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002921	NA
X57102|ARO:3003103	CAA40386.1	X57102	CphA beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3003103	NA
AJ420864|ARO:3002203	CAD12765.1	AJ420864	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002203	NA
JQ422052|ARO:3001692	AFM55000.1	JQ422052	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001692	NA
AM279652|ARO:3001646	CAK50801.1	AM279652	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001646	NA
AF201828.2|ARO:3001422	AAG35609.2	AF201828.2	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001422	NA
DQ836922|ARO:3001144	ABH04327.1	DQ836922	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001144	NA
FJ381668|ARO:3002612	ACJ47200.1	FJ381668	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002612	NA
NC_019368.1|ARO:3002676	YP_006965431.1	NC_019368.1	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	NA	ARO:3002676	NA
FJ755841|ARO:3002432	ACN65419.1	FJ755841	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002432	NA
NC_002695|ARO:3000830	NP_309766.1	NC_002695	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;cephamycin;penam;tetracycline antibiotic	antibiotic efflux	NA	ARO:3000830	NA
CT025801.2|ARO:3000777	CAJ77856.1	CT025801.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	NA	ARO:3000777	NA
NC_013450|ARO:3000815	YP_003281576.1	NC_013450	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye	antibiotic efflux	NA	ARO:3000815	NA
JN935137|ARO:3001055	AFC75525.1	JN935137	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001055	NA
AB462903|ARO:3002574	BAH66386.1	AB462903	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002574	NA
AM932669|ARO:3003017	CAP69660.1	AM932669	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3003017	NA
D16099|ARO:3001300	BAA03674.1	D16099	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic;lincosamide antibiotic	antibiotic target alteration	NA	ARO:3001300	NA
DQ823382|ARO:3002830	ABH10964.1	DQ823382	ATP-binding cassette (ABC) antibiotic efflux pump	streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux	NA	ARO:3002830	NA
JQ820242|ARO:3001677	AFH36332.1	JQ820242	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001677	NA
EU586041|ARO:3001112	ACB73258.1	EU586041	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001112	NA
FJ234412|ARO:3002318	ACI95258.1	FJ234412	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002318	NA
KF986257|ARO:3001562	AHL30276.1	KF986257	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001562	NA
JF802084|ARO:3002912	AEP40501.1	JF802084	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002912	NA
JX311308|ARO:3002299	AFP99885.1	JX311308	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002299	NA
EU523697|ARO:3000572	ACD35503.1	EU523697	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	NA	ARO:3000572	NA
GU584222|ARO:3003196	ADE08374.2	GU584222	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	NA	ARO:3003196	NA
L06940|ARO:3000173	AAA71915.1	L06940	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	NA	ARO:3000173	NA
L39157.1|ARO:3003060	AAA99931.1	L39157.1	non-erm 23S ribosomal RNA methyltransferase (A1067)	peptide antibiotic	antibiotic target alteration	NA	ARO:3003060	NA
AJ012256|ARO:3000943	CAB65358.1	AJ012256	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000943	NA
AB372224|ARO:3002050	BAF95726.1	AB372224	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002050	NA
EU118148|ARO:3002287	ABW90721.1	EU118148	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002287	NA
JN848782|ARO:3002224	AEU17778.1	JN848782	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002224	NA
EF118171|ARO:3002210	ABM67078.1	EF118171	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002210	NA
AF190693|ARO:3000944	AAF05612.1	AF190693	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000944	NA
EF660562|ARO:3002849	ABV26705.1	EF660562	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	NA	ARO:3002849	NA
AF118110|ARO:3003002	AAD23513.1	AF118110	CfxA beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3003002	NA
AY143430|ARO:3001886	AAN38836.1	AY143430	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001886	NA
EU515249|ARO:3002036	ACA30420.1	EU515249	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002036	NA
LC031883|ARO:3003659	BAQ56016.1	LC031883	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3003659	NA
M97297|ARO:3002942	AAA65959.1	M97297	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002942	NA
DQ058663|ARO:3002711	AAZ04784.1	DQ058663	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002711	NA
KM087849|ARO:3002150	AIT76102.1	KM087849	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002150	NA
GU207844|ARO:3002343	ADC91899.1	GU207844	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002343	NA
NC_007795|ARO:3000839	YP_500802.1	NC_007795	daptomycin resistant cls	peptide antibiotic	antibiotic target alteration	NA	ARO:3000839	NA
HM440348|ARO:3000549	ADM92606.1	HM440348	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux	NA	ARO:3000549	NA
AJ401618|ARO:3002514	CAC04522.1	AJ401618	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002514	NA
